ZIP_CODE	TERRITORY_ID	TERRITORY_NAME	CITY	STATE	REGION_ID	REGION_NAME
00988	99999	UNASSIGNED	CAROLINA	PR	9000	UNASSIGNED
01001	10001	EAST	AGAWAM	MA	1000	EAST
01002	10001	EAST	AMHERST	MA	1000	EAST
01003	10001	EAST	AMHERST	MA	1000	EAST
01004	10001	EAST	AMHERST	MA	1000	EAST
01005	10001	EAST	BARRE	MA	1000	EAST
01007	10001	EAST	BELCHERTOWN	MA	1000	EAST
01008	10001	EAST	BLANDFORD	MA	1000	EAST
01009	10001	EAST	BONDSVILLE	MA	1000	EAST
01010	10001	EAST	BRIMFIELD	MA	1000	EAST
01011	10001	EAST	CHESTER	MA	1000	EAST
01012	10001	EAST	CHESTERFIELD	MA	1000	EAST
01013	10001	EAST	CHICOPEE	MA	1000	EAST
01014	10001	EAST	CHICOPEE	MA	1000	EAST
01020	10001	EAST	CHICOPEE	MA	1000	EAST
01021	10001	EAST	CHICOPEE	MA	1000	EAST
01022	10001	EAST	CHICOPEE	MA	1000	EAST
01026	10001	EAST	CUMMINGTON	MA	1000	EAST
01027	10001	EAST	EASTHAMPTON	MA	1000	EAST
01028	10001	EAST	EAST LONGMEADOW	MA	1000	EAST
01029	10001	EAST	EAST OTIS	MA	1000	EAST
01030	10001	EAST	FEEDING HILLS	MA	1000	EAST
01031	10001	EAST	GILBERTVILLE	MA	1000	EAST
01032	10001	EAST	GOSHEN	MA	1000	EAST
01033	10001	EAST	GRANBY	MA	1000	EAST
01034	10001	EAST	GRANVILLE	MA	1000	EAST
01035	10001	EAST	HADLEY	MA	1000	EAST
01036	10001	EAST	HAMPDEN	MA	1000	EAST
01037	10001	EAST	HARDWICK	MA	1000	EAST
01038	10001	EAST	HATFIELD	MA	1000	EAST
01039	10001	EAST	HAYDENVILLE	MA	1000	EAST
01040	10001	EAST	HOLYOKE	MA	1000	EAST
01041	10001	EAST	HOLYOKE	MA	1000	EAST
01050	10001	EAST	HUNTINGTON	MA	1000	EAST
01053	10001	EAST	LEEDS	MA	1000	EAST
01054	10001	EAST	LEVERETT	MA	1000	EAST
01056	10001	EAST	LUDLOW	MA	1000	EAST
01057	10001	EAST	MONSON	MA	1000	EAST
